Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Randomized?,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Reduction Blow Up,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,Graph Triangle Problems,Triangle Collection*,Graph Triangle Problems,Triangle Collection,57,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{3-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{3-\epsilon+o(1)} + N)$",3,"Abboud, Amir, Virginia Vassilevska Williams, and Huacheng Yu. ""Matching triangles and basing hardness on an extremely popular conjecture."" Proceedings of the forty-seventh annual ACM symposium on Theory of computing. 2015.",https://dspace.mit.edu/bitstream/handle/1721.1/137622/15m1050987.pdf?sequence=2&isAllowed=y,2015,,,,
,3SUM,Convolution 3SUM,Graph Triangle Problems,Triangle Listing,58,,Yes,,,,word RAM,3SUM Hypothesis,,"if: to-time $M^{4/3 -\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",4/3,"Patrascu, Mihai. ""Towards polynomial lower bounds for dynamic problems."" Proceedings of the forty-second ACM symposium on Theory of computing. 2010.",https://people.csail.mit.edu/mip/papers/mp-3sum/paper.pdf,2010,,,,
,3SUM,3SUM,Graph Subgraph Problems,Exact Weight 3-Star Detection,59,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{3-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",3,"Abboud, Amir, and Kevin Lewi. ""Exact weight subgraphs and the k-sum conjecture."" Automata, Languages, and Programming: 40th International Colloquium, ICALP 2013, Riga, Latvia, July 8-12, 2013, Proceedings, Part I 40. Springer Berlin Heidelberg, 2013.",https://link.springer.com/chapter/10.1007/978-3-642-39206-1_1,2013,,"Derandomizable via deterministic self reductions introduced in [Lincoln et al. 2016, https://doi.org/10.4230/LIPIcs.ICALP.2016.58 ]; see https://arxiv.org/abs/2310.12913 ",,
,3SUM,3SUM,Graph Subgraph Problems,Exact Weight 3-Matching Detection,60,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{4-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",4,"Abboud, Amir, and Kevin Lewi. ""Exact weight subgraphs and the k-sum conjecture."" Automata, Languages, and Programming: 40th International Colloquium, ICALP 2013, Riga, Latvia, July 8-12, 2013, Proceedings, Part I 40. Springer Berlin Heidelberg, 2013.",https://link.springer.com/chapter/10.1007/978-3-642-39206-1_1,2013,,"Derandomizable via deterministic self reductions introduced in [Lincoln et al. 2016, https://doi.org/10.4230/LIPIcs.ICALP.2016.58 ]; see https://arxiv.org/abs/2310.12913 ",,
,Graph Subgraph Problems,Exact Weight 3-Star Detection,Graph Subgraph Problems,Exact Weight 3-Matching Detection,61,,?,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{4-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{3-\epsilon'})$ for some $\epsilon' > 0$",4,"Abboud, Amir, and Kevin Lewi. ""Exact weight subgraphs and the k-sum conjecture."" Automata, Languages, and Programming: 40th International Colloquium, ICALP 2013, Riga, Latvia, July 8-12, 2013, Proceedings, Part I 40. Springer Berlin Heidelberg, 2013.",https://link.springer.com/chapter/10.1007/978-3-642-39206-1_1,2013,,,,
,Graph Subgraph Problems,Exact Weight 3-Star Detection,3SUM,3SUM,62,,?,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{3-\epsilon'})$ for some $\epsilon' > 0$",2,"Abboud, Amir, and Kevin Lewi. ""Exact weight subgraphs and the k-sum conjecture."" Automata, Languages, and Programming: 40th International Colloquium, ICALP 2013, Riga, Latvia, July 8-12, 2013, Proceedings, Part I 40. Springer Berlin Heidelberg, 2013.",https://link.springer.com/chapter/10.1007/978-3-642-39206-1_1,2013,,,,
,Graph Subgraph Problems,Exact Weight 3-Matching Detection,Graph Subgraph Problems,Exact Weight 3-Star Detection,63,,?,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{3-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{4-\epsilon'})$ for some $\epsilon' > 0$",3,"Abboud, Amir, and Kevin Lewi. ""Exact weight subgraphs and the k-sum conjecture."" Automata, Languages, and Programming: 40th International Colloquium, ICALP 2013, Riga, Latvia, July 8-12, 2013, Proceedings, Part I 40. Springer Berlin Heidelberg, 2013.",https://link.springer.com/chapter/10.1007/978-3-642-39206-1_1,2013,,,,
,Graph Subgraph Problems,Exact Weight 3-Matching Detection,3SUM,3SUM,64,,?,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{4-\epsilon'})$ for some $\epsilon' > 0$",2,"Abboud, Amir, and Kevin Lewi. ""Exact weight subgraphs and the k-sum conjecture."" Automata, Languages, and Programming: 40th International Colloquium, ICALP 2013, Riga, Latvia, July 8-12, 2013, Proceedings, Part I 40. Springer Berlin Heidelberg, 2013.",https://link.springer.com/chapter/10.1007/978-3-642-39206-1_1,2013,,,,
,3SUM,3SUM,Set Intersection Problems,Set Disjointness,65,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $n^{2-\epsilon}$ where $|U| = O(n^{2-2\alpha})$, $N = O(n)$, $s = O(n^{1-\alpha})$, $q = O(n^{1+\alpha})$ for some $\epsilon > 0$ and some $0\leq \alpha < 1$
then: from-time: $O(n^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Fischer, Nick, Piotr Kaliciak, and Adam Polak. ""Deterministic 3sum-hardness."" arXiv preprint arXiv:2310.12913 (2023).",https://arxiv.org/abs/2310.12913,2023,,Previously randomized (with slightly different parameters) in e.g. [KPP'16]: https://epubs.siam.org/doi/10.1137/1.9781611974331.ch89,,
,3SUM,3SUM,Set Intersection Problems,Set Intersection,66,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $n^{2-\epsilon}$ where $|U| = O(n^{1+\beta-\alpha})$, $N = O(n^{(1+\alpha+\beta)/2})$, $s = O(n^{1-\alpha})$, $q = O(n^{1+\alpha})$, $r = O(n^{2-\beta})$ for some $\epsilon > 0$, some $0\leq \alpha < 1$, and some $0\leq \beta\leq 1-\alpha$
then: from-time: $O(n^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Fischer, Nick, Piotr Kaliciak, and Adam Polak. ""Deterministic 3sum-hardness."" arXiv preprint arXiv:2310.12913 (2023).",https://arxiv.org/abs/2310.12913,2023,,Previously randomized (with slightly different parameters) in e.g. [KPP'16]: https://epubs.siam.org/doi/10.1137/1.9781611974331.ch89,,
,Set Intersection Problems,Set Disjointness,Set Intersection Problems,Set Intersection,67,Trivial - subproblem,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",,,,,,,,
,Set Intersection Problems,Set Disjointness,Graph Triangle Problems,Edge Triangle Counting,68,,,,,,word RAM,3SUM Hypothesis,,,3,"Kopelowitz, Tsvi, Seth Pettie, and Ely Porat. ""Higher lower bounds from the 3SUM conjecture."" Proceedings of the twenty-seventh annual ACM-SIAM symposium on Discrete algorithms. Society for Industrial and Applied Mathematics, 2016.",https://epubs.siam.org/doi/10.1137/1.9781611974331.ch89,2016,,,,
,Set Intersection Problems,Set Intersection,Graph Triangle Problems,Triangle Listing,69,,,,,,word RAM,3SUM Hypothesis,,,3,"Kopelowitz, Tsvi, Seth Pettie, and Ely Porat. ""Higher lower bounds from the 3SUM conjecture."" Proceedings of the twenty-seventh annual ACM-SIAM symposium on Discrete algorithms. Society for Industrial and Applied Mathematics, 2016.",https://epubs.siam.org/doi/10.1137/1.9781611974331.ch89,2016,,,,
,Graph Triangle Problems,Triangle Listing,Graph Timeline Problems,"""Exists"" Connectivity in Graph Timelines",70,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $t^{4/3 - \epsilon}$ where $q = \Theta(t)$
then: from-time: $O(m^{4/3 - \epsilon'})$ for some $\epsilon' > 0$",,"Karczmarz, Adam, and Jakub Łącki. ""Fast and simple connectivity in graph timelines."" Algorithms and Data Structures: 14th International Symposium, WADS 2015, Victoria, BC, Canada, August 5-7, 2015. Proceedings 14. Springer International Publishing, 2015.",https://link.springer.com/chapter/10.1007/978-3-319-21840-3_38,2015,,,,
,Graph Triangle Problems,Triangle Detection,Graph Timeline Problems,"""Exists"" Connectivity in Graph Timelines",71,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $O(T(t))$ where $q = \Theta(t)$
then: from-time: $O(T(n))$",,"Karczmarz, Adam, and Jakub Łącki. ""Fast and simple connectivity in graph timelines."" Algorithms and Data Structures: 14th International Symposium, WADS 2015, Victoria, BC, Canada, August 5-7, 2015. Proceedings 14. Springer International Publishing, 2015.",https://link.springer.com/chapter/10.1007/978-3-319-21840-3_38,2015,,,,
,Graph Triangle Problems,Triangle Listing,Graph Triangle Problems,Vertex Triangle Listing,72,Trivial - subproblem,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",,"Amir, Amihood, et al. ""Mind the gap! online dictionary matching with one gap."" Algorithmica 81 (2019): 2123-2157.",https://link.springer.com/article/10.1007/s00453-018-0526-2,2019,,Other reference: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ISAAC.2016.12,,
,Graph Triangle Problems,Vertex Triangle Listing,Graph Subgraph Problems,Induced Subgraph Problem,73,,,,,,word RAM,3SUM Hypothesis,,,,"Amir, Amihood, et al. ""Mind the gap! online dictionary matching with one gap."" Algorithmica 81 (2019): 2123-2157.",https://link.springer.com/article/10.1007/s00453-018-0526-2,2019,,Other reference: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ISAAC.2016.12,,
,String Search,Dictionary Matching with One Gap*,Graph Subgraph Problems,Induced Subgraph Problem,74,equivalency,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",,"Amir, Amihood, et al. ""Mind the gap! online dictionary matching with one gap."" Algorithmica 81 (2019): 2123-2157.",https://link.springer.com/article/10.1007/s00453-018-0526-2,2019,,Other reference: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ISAAC.2016.12,,
,Graph Subgraph Problems,Induced Subgraph Problem,String Search,Dictionary Matching with One Gap*,75,equivalency,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",,"Amir, Amihood, et al. ""Mind the gap! online dictionary matching with one gap."" Algorithmica 81 (2019): 2123-2157.",https://link.springer.com/article/10.1007/s00453-018-0526-2,2019,,Other reference: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ISAAC.2016.12,,
,String Search,Dictionary Matching with One Gap*,String Search,Dictionary Matching with One Gap,76,Trivial - subproblem,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",,"Amir, Amihood, et al. ""Mind the gap! online dictionary matching with one gap."" Algorithmica 81 (2019): 2123-2157.",https://link.springer.com/article/10.1007/s00453-018-0526-2,2019,,Other reference: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ISAAC.2016.12,,
,3SUM,3SUM,3SUM,1-Partite 3LDT,77,Trivial - subproblem,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",,"Dudek, Bartłomiej, Paweł Gawrychowski, and Tatiana Starikovskaya. ""All non-trivial variants of 3-LDT are equivalent."" Proceedings of the 52nd Annual ACM SIGACT Symposium on Theory of Computing. 2020.",https://dl.acm.org/doi/10.1145/3357713.3384275,2020,,Other reference: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ISAAC.2016.12,,
,3SUM,1-Partite 3LDT,3SUM,3SUM,78,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Dudek, Bartłomiej, Paweł Gawrychowski, and Tatiana Starikovskaya. ""All non-trivial variants of 3-LDT are equivalent."" Proceedings of the 52nd Annual ACM SIGACT Symposium on Theory of Computing. 2020.",https://dl.acm.org/doi/10.1145/3357713.3384275,2020,,"Originally relied on a randomized universe reduction (i.e. to $[n^3]$), which was derandomized in [FKP'23]: https://arxiv.org/pdf/2310.12913",,
,3SUM,3SUM',3SUM,3-Partite 3LDT,79,Trivial - subproblem,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",,"Dudek, Bartłomiej, Paweł Gawrychowski, and Tatiana Starikovskaya. ""All non-trivial variants of 3-LDT are equivalent."" Proceedings of the 52nd Annual ACM SIGACT Symposium on Theory of Computing. 2020.",https://dl.acm.org/doi/10.1145/3357713.3384275,2020,,,,
,3SUM,3-Partite 3LDT,3SUM,3SUM',80,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Dudek, Bartłomiej, Paweł Gawrychowski, and Tatiana Starikovskaya. ""All non-trivial variants of 3-LDT are equivalent."" Proceedings of the 52nd Annual ACM SIGACT Symposium on Theory of Computing. 2020.",https://dl.acm.org/doi/10.1145/3357713.3384275,2020,,"Originally relied on a randomized universe reduction (i.e. to $[n^3]$), which was derandomized in [FKP'23]: https://arxiv.org/pdf/2310.12913",,
,3SUM,3-Partite 3LDT,3SUM,1-Partite 3LDT,81,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Dudek, Bartłomiej, Paweł Gawrychowski, and Tatiana Starikovskaya. ""All non-trivial variants of 3-LDT are equivalent."" Proceedings of the 52nd Annual ACM SIGACT Symposium on Theory of Computing. 2020.",https://dl.acm.org/doi/10.1145/3357713.3384275,2020,,"Originally relied on a randomized universe reduction (i.e. to $[n^3]$), which was derandomized in [FKP'23]: https://arxiv.org/pdf/2310.12913",,
,3SUM,1-Partite 3LDT,3SUM,3-Partite 3LDT,82,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Dudek, Bartłomiej, Paweł Gawrychowski, and Tatiana Starikovskaya. ""All non-trivial variants of 3-LDT are equivalent."" Proceedings of the 52nd Annual ACM SIGACT Symposium on Theory of Computing. 2020.",https://dl.acm.org/doi/10.1145/3357713.3384275,2020,,"Originally relied on a randomized universe reduction (i.e. to $[n^3]$), which was derandomized in [FKP'23]: https://arxiv.org/pdf/2310.12913",,
,3SUM,3SUM,Grammar-Compressed Linear Algebra,Grammar-Compressed Vector Inner Product,83,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $O(n^{2-\epsilon})$ for some $\epsilon > 0$ and $n = \Theta(N^{1/4})$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Abboud, Amir, et al. ""Impossibility results for grammar-compressed linear algebra."" Advances in Neural Information Processing Systems 33 (2020): 8810-8823.",https://proceedings.neurips.cc/paper/2020/hash/645e6bfdd05d1a69c5e47b20f0a91d46-Abstract.html,2020,,"Originally seemed to rely on a randomized universe reduction, which was derandomized in [FKP'23]: https://arxiv.org/pdf/2310.12913",,
,3SUM,3SUM,Grammar-Compressed Linear Algebra,Grammar-Compressed Square-Matrix-Vector Multiplication,84,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $O(Nn^{2-\epsilon})$ for some $\epsilon > 0$ and $n = \Theta(N^{1/5})$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",,"Abboud, Amir, et al. ""Impossibility results for grammar-compressed linear algebra."" Advances in Neural Information Processing Systems 33 (2020): 8810-8823.",https://proceedings.neurips.cc/paper/2020/hash/645e6bfdd05d1a69c5e47b20f0a91d46-Abstract.html,2020,,"Originally seemed to rely on a randomized universe reduction, which was derandomized in [FKP'23]: https://arxiv.org/pdf/2310.12913",,
,3SUM,All-Integers 3SUM,String Search,Dynamic $k$-Mismatch,85,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $n^{O(1)}$ for pre-processing, $O(k^{1-\epsilon})$ for updates AND $O(k^{1-\epsilon})$ for queries for some $k = \lceil m^c\rceil$, $p > 0$, $\epsilon > 0$, and $0 < c < \frac{1}{2}$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",,"Clifford, Raphaël, et al. ""The Dynamic k-Mismatch Problem."" 33rd Annual Symposium on Combinatorial Pattern Matching (CPM 2022). Schloss Dagstuhl-Leibniz-Zentrum für Informatik, 2022.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.CPM.2022.18,2022,,,,
,3SUM,Convolution 3SUM,Double 3-Term Arithmetic Progression,Double 3-Term Arithmetic Progression,86,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Radoszewski, Jakub, et al. ""Hardness of detecting abelian and additive square factors in strings."" arXiv preprint arXiv:2107.09206 (2021).",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2021.77,2021,,"Originally relied on a randomized universe reduction, which was derandomized in [FKP'23]: https://arxiv.org/pdf/2310.12913",,
,Double 3-Term Arithmetic Progression,Double 3-Term Arithmetic Progression,Squares in Strings,Additive Square Factor Detection in Integer Strings,87,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Radoszewski, Jakub, et al. ""Hardness of detecting abelian and additive square factors in strings."" arXiv preprint arXiv:2107.09206 (2021).",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2021.77,2021,,,,
,Double 3-Term Arithmetic Progression,Double 3-Term Arithmetic Progression,Squares in Strings,Abelian Square Factor Centers Enumeration,88,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$ and alphabet size is $\omega(1)$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Radoszewski, Jakub, et al. ""Hardness of detecting abelian and additive square factors in strings."" arXiv preprint arXiv:2107.09206 (2021).",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2021.77,2021,,,,
,Double 3-Term Arithmetic Progression,Double 3-Term Arithmetic Progression,Squares in Strings,Odd Abelian Square Factor Detection,89,,,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$ and alphabet size is $\omega(1)$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Radoszewski, Jakub, et al. ""Hardness of detecting abelian and additive square factors in strings."" arXiv preprint arXiv:2107.09206 (2021).",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2021.77,2021,,,,
,3SUM,Convolution 3SUM,Convolution Problems,Convolution Witness,90,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $O(N^{2-\alpha})$ for preprocessing, $O(N^{\alpha/2 - \epsilon})$ (per witness) for query for some $0<\alpha<1$ and $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",,"Fischer, Nick, Piotr Kaliciak, and Adam Polak. ""Deterministic 3sum-hardness."" arXiv preprint arXiv:2310.12913 (2023).",https://arxiv.org/abs/2310.12913,2023,,Originally randomized in [GKLP'16]: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2016.45,,
,Convolution Problems,Convolution Witness,Convolution Problems,Partial Convolution,91,,,,,,real RAM,3SUM Hypothesis,,"if: to-time: $O(N^{1-\epsilon})$ for some $\epsilon > 0$ (even if $s$ and the number of $1$s in both input vectors are $O(N^{1-\Omega(1)})$)
then: from-time $O(N^{2-\alpha'})$ for preprocessing, $O(N^{\alpha/2 - \epsilon'})$ (per witness) for query for some $0<\alpha'<1$ and $\epsilon' > 0$",1,"Goldstein, Isaac, et al. ""How Hard is it to Find (Honest) Witnesses?."" 24th Annual European Symposium on Algorithms (ESA 2016). Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik, 2016.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2016.45,2016,,,,
,Convolution Problems,Convolution Witness,Convolution Problems,Partial Convolution Indexing,92,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $O(N^{2-\alpha})$ for preprocessing, $O(N^{1-\epsilon})$ for query for some $\alpha, \epsilon > 0$ (even if $s$ and the number of $1$s in both input vectors are $O(N^{1-\Omega(1)})$)
then: from-time $O(N^{2-\alpha'})$ for preprocessing, $O(N^{\alpha/2 - \epsilon'})$ (per witness) for query for some $0<\alpha'<1$ and $\epsilon' > 0$",,"Goldstein, Isaac, et al. ""How Hard is it to Find (Honest) Witnesses?."" 24th Annual European Symposium on Algorithms (ESA 2016). Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik, 2016.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2016.45,2016,,,,
,Convolution Problems,Convolution Witness,Matrix Product,Partial Matrix Multiplication,93,,,,,,real RAM,3SUM Hypothesis,,"if: to-time: $O(N^{2-\epsilon})$ for some $\epsilon > 0$ (even if $s$ and the number of $1$s in both input matrices are $O(N^{2-\Omega(1)})$)
then: from-time $O(N^{2-\alpha'})$ for preprocessing, $O(N^{\alpha/2 - \epsilon'})$ (per witness) for query for some $0<\alpha'<1$ and $\epsilon' > 0$",2,"Goldstein, Isaac, et al. ""How Hard is it to Find (Honest) Witnesses?."" 24th Annual European Symposium on Algorithms (ESA 2016). Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik, 2016.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2016.45,2016,,,,
,Convolution Problems,Convolution Witness,Matrix Product,Partial Matrix Multiplication Indexing,94,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $O(size(S))$ for preprocessing, $O(N^{2-\epsilon})$ for query for some $\epsilon > 0$ (even if $|S_i|$ and number of $1$s in input matrix and $O(N^{2-\Omega(1)})$ for all $i$)
then: from-time $O(N^{2-\alpha'})$ for preprocessing, $O(N^{\alpha/2 - \epsilon'})$ (per witness) for query for some $0<\alpha'<1$ and $\epsilon' > 0$",,"Goldstein, Isaac, et al. ""How Hard is it to Find (Honest) Witnesses?."" 24th Annual European Symposium on Algorithms (ESA 2016). Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik, 2016.",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2016.45,2016,,,,
,3SUM,3SUM,Graph Triangle Problems,All-Edges Monochromatic Triangle,95,,Yes,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2.5-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-0.8\epsilon})$",2.5,"Andrea Lincoln, Adam Polak, and Virginia Vassilevska Williams. Monochromatic Triangles, Intermediate Matrix Products, and Convolutions. In 11th Innovations in Theoretical Computer Science Conference (ITCS 2020). Leibniz International Proceedings in Informatics (LIPIcs), Volume 151, pp. 53:1-53:18, Schloss Dagstuhl – Leibniz-Zentrum für Informatik (2020)",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2020.53,2020,,,,
,3SUM,3SUM,Convolution Problems,Mono Convolution,96,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{1.5-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-(4\epsilon/3)})$",1.5,"Fischer, Nick, Piotr Kaliciak, and Adam Polak. ""Deterministic 3sum-hardness."" arXiv preprint arXiv:2310.12913 (2023).",https://arxiv.org/abs/2310.12913,2023,,Originally randomized in [LPW'20]: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2020.53,,
,Convolution Problems,Mono Convolution,3SUM,3SUM,97,,,,,,real RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{1.5-\epsilon/4})$",2,"Andrea Lincoln, Adam Polak, and Virginia Vassilevska Williams. Monochromatic Triangles, Intermediate Matrix Products, and Convolutions. In 11th Innovations in Theoretical Computer Science Conference (ITCS 2020). Leibniz International Proceedings in Informatics (LIPIcs), Volume 151, pp. 53:1-53:18, Schloss Dagstuhl – Leibniz-Zentrum für Informatik (2020)",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2020.53,2020,,,,
,3SUM,3SUM,3SUM,1-Partite Homogeneous 4LDT,98,,Yes,,,,word RAM,3SUM Hypothesis,,"if: to-time $N^{2-\epsilon}$ for some $\epsilon > 0$
then: from-time: $O(N^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Jin, Ce, and Yinzhan Xu. ""Removing additive structure in 3sum-based reductions."" Proceedings of the 55th Annual ACM Symposium on Theory of Computing. 2023.",https://arxiv.org/abs/2211.07048,2022,,,,
,Graph Triangle Problems,Triangle Listing,All-Pairs Shortest Paths (APSP),Approximate Distance Oracle,99,,Yes,,,,real RAM,3SUM Hypothesis,,"if: to-time $\Tilde{O}(n^{1+p})$ for preprocessing, $O(m^{q})$ for query for stretch $k\geq 0$ (integer) and for some $p, q$ satisfying $kp+(k+1)q<1$
then: from-time $O(N^{2-\epsilon'})$ for $O(n^{3/2})$ triangles in a $\Theta(n^{1/2})$-regular graph containing at most $O(n^2)$ 4-cycles for some $\epsilon' > 0$",,"Abboud, Amir, Karl Bringmann, and Nick Fischer. ""Stronger 3-SUM Lower Bounds for Approximate Distance Oracles via Additive Combinatorics."" 55th Annual ACM Symposium on Theory of Computing. ACM, 2023.",https://arxiv.org/abs/2211.07058,2022,,,,
,Graph Triangle Problems,Triangle Listing,Graph Subgraph Problems,4-Cycle Listing,100,,Yes,,,,word RAM,3SUM Hypothesis,,"if: to-time: $\Tilde{O}(n^{2-\epsilon}+t)$ OR $\Tilde{O}(m^{4/3-\epsilon}+t)$ for some $\epsilon > 0$
then: from-time $O(N^{2-\epsilon'})$ for $O(n^{3/2})$ triangles in a $\Theta(n^{1/2})$-regular graph containing at most $O(n^2)$ 4-cycles for some $\epsilon' > 0$",2,"Abboud, Amir, Karl Bringmann, and Nick Fischer. ""Stronger 3-SUM Lower Bounds for Approximate Distance Oracles via Additive Combinatorics."" 55th Annual ACM Symposium on Theory of Computing. ACM, 2023.",https://arxiv.org/abs/2211.07058,2022,,,,
,3SUM,3SUM',3SUM,#3SUM,101,Trivial - subproblem,,,,,,,,"if: to-time $O(T(n))$
then: from-time: $O(T(n))$",2,"Chan, Timothy M., Virginia Vassilevska Williams, and Yinzhan Xu. ""Fredman’s Trick Meets Dominance Product: Fine-Grained Complexity of Unweighted APSP, 3SUM Counting, and More."" Proceedings of the 55th Annual ACM Symposium on Theory of Computing. 2023.",https://dl.acm.org/doi/abs/10.1145/3564246.3585237,2023,,,,
,3SUM,#3SUM,3SUM,3SUM',102,,Yes,,,,word RAM,3SUM Hypothesis,,"if: to-time: $O(n^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time $O(n^{2-\epsilon'})$ for some $\epsilon' > 0$",2,"Chan, Timothy M., Virginia Vassilevska Williams, and Yinzhan Xu. ""Fredman’s Trick Meets Dominance Product: Fine-Grained Complexity of Unweighted APSP, 3SUM Counting, and More."" Proceedings of the 55th Annual ACM Symposium on Theory of Computing. 2023.",https://dl.acm.org/doi/abs/10.1145/3564246.3585237,2023,,,,
